,Unnamed: 0,Rating,Review,lang,cleaned
80330,3171,3,Tbh it’s good but not that good. It always makes me fight against players who have WAY BETTER weapons than me😑but it does have it’s moments.,en,Tbh it ’ s good but not that good . It always make me fight against player who have WAY BETTER weapon than me😑but it do have it ’ s moment .
80331,3172,5,THE JUDGE NEEDS MORE MISSLIES I PAID WAY TO MUCH FOR IT TO ONKY HAVE 4 CAPACITY AND I UPGRADED IT AND IT STILL HAD YHE SAME CAPACITY,en,THE JUDGE NEEDS MORE MISSLIES I PAID WAY TO MUCH FOR IT TO ONKY HAVE 4 CAPACITY AND I UPGRADED IT AND IT STILL HAD YHE SAME CAPACITY
80332,3173,4,"I love this game, but the reskin thing has gone too far. The Thunderer thing was cool, but it’s just ridiculous now. And, Gems are still a bit hard to get. Other than the lotteries, there is no efficient way to get gems. So I think this game is so expensive for what you buy, and In a few days, you’ll need to spend more money because of the new updates.",en,"I love this game , but the reskin thing have go too far . The Thunderer thing be cool , but it ’ s just ridiculous now . And , Gems be still a bit hard to get . Other than the lottery , there be no efficient way to get gem . So I think this game be so expensive for what you buy , and In a few day , you ’ ll need to spend more money because of the new update ."
80333,3174,5,"One thing I really think would be fantastic if we (players) had a sell button. I've bought tons of stuff but after I rank up it's no use so to get rid of it and get a refund on that weapon/armor would be great.    -lvl. 31SELL BUTTON!!!!!!!!!!!!!!!!!!!!!!😀😀😀😀😀😀😀😀😀😀Also, I don't really like the new stuff because it's so fast and powerful if u end up in a game with peeps like that then your screwed.Right now it’s 2018!!! There’s an update that I’m not getting I’m on iOS iPad mini 4 I would really like this update plz fix.",en,"One thing I really think would be fantastic if we ( player ) have a sell button . I 've buy ton of stuff but after I rank up it 's no use so to get rid of it and get a refund on that weapon/armor would be great . -lvl . 31SELL BUTTON exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point 😀😀😀😀😀😀😀😀😀😀Also , I do n't really like the new stuff because it 's so fast and powerful if u end up in a game with peep like that then your screwed.Right now it ’ s 2018 exclamation_point exclamation_point exclamation_point There ’ s an update that I ’ m not get I ’ m on iOS iPad mini 4 I would really like this update plz fix ."
80334,3175,5,This game is great I can’t realy say anything bad about it I just wish it was more like it used to be and wish really good weapons weren’t so hard to get,en,This game be great I can ’ t realy say anything bad about it I just wish it be more like it use to be and wish really good weapon weren ’ t so hard to get
80335,3176,5,My friends have the new update on pixel gun and I have to wait like a month to get it so... yeah,en,My friend have the new update on pixel gun and I have to wait like a month to get it so ... yeah
80336,3177,1,"This is most likely one of the worst games I've ever played. And I have a few reasons for that.First of all, it takes forever to get enough money to buy a decent weapon.Second of all, when you made it to level 27, there would be so many hackers that it made you cringe for even trying to play fairly. Third of all, it is pay to play game, meaning that every one that is not hacking, they probably spent $100 on the game so that they have the best things.Honestly, I don't even understand why it's even in the top grossing.",en,"This be most likely one of the bad game I 've ever play . And I have a few reason for that.First of all , it take forever to get enough money to buy a decent weapon.Second of all , when you make it to level 27 , there would be so many hacker that it make you cringe for even try to play fairly . Third of all , it be pay to play game , mean that every one that be not hack , they probably spend $ 100 on the game so that they have the best things.Honestly , I do n't even understand why it 's even in the top grossing ."
80337,3178,5,Thank you so much for marketing this game,en,Thank you so much for market this game
80338,3179,5,I need a panda skin or I’m going to be sad,en,I need a panda skin or I ’ m go to be sad
80340,3181,1,Doesn’t work  on my iPad Pro(9.7in),en,Doesn ’ t work on my iPad Pro ( 9.7in )
80344,3185,5,I can’t even explain how much fun this game is. You can’t find a game better then this!!!,en,I can ’ t even explain how much fun this game be . You can ’ t find a game well then this exclamation_point exclamation_point exclamation_point
80346,3187,5,Great graphics and a great game! 💗,en,Great graphic and a great game exclamation_point 💗
80348,3189,5,"Dear Pixel Gun 3D company,  I will really appreciate it if you will plz add a sell button because I need to earn money faster, because I can’t earn money faster because I think I am a noob 😢😢😭",en,"Dear Pixel Gun 3D company , I will really appreciate it if you will plz add a sell button because I need to earn money faster , because I can ’ t earn money faster because I think I be a noob 😢😢😭"
80349,3190,5,It’s the best game you good probably every play.Its really and I totally recommend it.,en,It ’ s the best game you good probably every play.Its really and I totally recommend it .
80350,3191,4,I've played this game for 4-5 years now and I really want the destroyed  mega looks back and so as the iron gun in the primary section. Also bring back the blue saber sword please I really wanted to buy that wepon. Also make the big buddy in the store please.From your pixel gun 3D player Moo,en,I 've play this game for 4-5 year now and I really want the destroyed mega look back and so a the iron gun in the primary section . Also bring back the blue saber sword please I really want to buy that wepon . Also make the big buddy in the store please.From your pixel gun 3D player Moo
80352,3193,5,I honestly think this game is the best mobile game I have ever played they are always try to make it better to do thank you to the creators of this game keep up the great work,en,I honestly think this game be the best mobile game I have ever play they be always try to make it good to do thank you to the creator of this game keep up the great work
80353,3194,5,I don’t play block or pixelated games but I did it for my son. I am glad he talked me into it because I enjoy spending time together playing this game.,en,I don ’ t play block or pixelated game but I do it for my son . I be glad he talk me into it because I enjoy spend time together play this game .
80354,3195,5,I love this game!It is very addicting and I always want to play more of it. I’m not sure if everyone will agree when I say that this game has to be in my top 5. This is coming from a 9 year old obsessed with this game,en,I love this game exclamation_point It be very addicting and I always want to play more of it . I ’ m not sure if everyone will agree when I say that this game have to be in my top 5 . This be come from a 9 year old obsess with this game
