1924,Amazing cant stop loving it so amazing spend that time to downloas it
1929,I been playing for a long time and I love it it's so cool that's mostly what I do now
1930,My friend got the Dev consle
1931,Cool
1938,It's great
1950,Can you contact me and help me get my account back I can't  get them back pls help
1959,Its awesome
1963,Git a ship map
1965,Cool
1969,It is amazing but they should give coins every time you win not if your 1st or 2nd
1971,Updates take too much storage
1972,Thanks
1973,When i  update it to 13.5.3 it says to update it again when I have the version and I can't battle
1978,It is awesome
1986,"I love it cause u can make lots of different stuff like skins,lobby, and mote"
1988,Adictive best fps I've played
2009,Cool Gg
2012,I like it because it's cool that you can shoot people online
2034,Keep up the good work and could I get free gems like 200 please
2039,It's ok
2046,Its so good make updates with sales great job love u😍
2059,You should play
2061,To much data needed
2063,E bom
2070,Oco
2073,It  is the best
2093,I love it I love the graphics and everything I love it!!!
2096,3 stars coz when i play it says new content update but when checking there is no update this  has been going on for a long time and i cwnt play. RIP. Fix this and 5 stars thanks
2100,UWIELBIAM TOM GRE
2104,"Well...the New update is somewhat good apart from the New upgrading system, now you NEED to pay 100s of gems to beat people. You made up for it (sort of) by balancing weapons in some matches and making weapons earned from chests high level, but it could just make life easier for us all if you balance weapons in ALL matches."
2108,Awsome
2117,Love it
2121,Trop cooooool!!!
2128,I think its AWESOME!!!!!
2129,I am going to try to play
2144,"Would've been 5 stars, but ye got to stop reseting the freakin trophies. Over 4500 goes down to 3000. What is that kind of event anyways?"
2152,I love it so much but not to much
2155,It's is a good deal
2157,I can't go into my armory its ignoring me when I tap it FIX IT
2166,There is no Polish language!!!😠
2177,Thanks it is very nice 😄😄😄😄😄😄😄😀😀😀
2181,Cool
2185,Im play minecraft every day and CoD
2187,cool
2195,It feels like your play Black Ops and Fortnite
2213,"I need help, im in the adamant league with lvl 17... If i shoot anyone with my exoskeleton pilot sniper, nothing happens becuase they have adamant armour and i have crystal armour. I think you should let peoeple upgrade guns with the league, not with lvl because if somone is under lvl 20 and they in adamant league, their guns wond do anything! Please change this and you will get 5 stars"
2215,Help i lost my account I was level 29
2242,2 u people i recommend that you should really try it
2249,Perfect👌🏻👌🏻👌🏻👍🏻
2250,lts free its fun for everyone!!! ;)
2283,It is cool
2291,Ses cool
2294,First it gets relay boreing second can't jump high enough third it's lovely tho💏💏
2299,Cool
2311,It is fun to play
2314,Awesome tiny bit lagy  but that could just be my phone  but still awesome!!!!!!!!
2316,Je to sranda
2333,That is very good
2341,when u try to play it keeps telling me to update so i cant play even though i have
2363,Its so cool to kill
2373,It's so cool.Coolgame
2395,It is good 👍
2432,No auto fire. 😋 I don't have time for that
2459,Ich finde es sehr cool🖒🖒
2461,Megusto muchoooooooo😉😉😉😉😉
2473,Coool
2478,Useless it takes up too much space and if you don't update it your not allowed to play
2492,Its Really Awesome I Want You To add In Parts For All The Guns They Don't Have And Delivery Times For The Guns And Lucky Mystery Boxes In Online And Campaign!
2508,I was buying some gems but I don't get the gems that I had bought and my money was gone.
2529,It will be cool if 30 playing in one big map and battle
2550,Trop cool
2557,Zarombiste mam 21 level i 2 mythycale
2576,"(even tho it's not a big deal) In the Christmas update,when you added the new section for the weapons called Sniper, the Brutal Headhunter and the Guerrilla Rifle are in it. But however, in the Parkour City map, the big sign that says the 2 weapons (the Brutal Headhunter and the Guerrilla Rifle) are in the Special category is wrong. It's in the Sniper category! Also, there a 2 new and same maps in the sandbox mode. Also, make a arena map in the Deathmatch mode which has NO obsticals (pillars, hazards ect.)"
2579,Make dual terminators.
2580,Cool
2582,Great
2585,10000000000out of 10
2586,Ich find es einfach cool
2605,It is so cool
2607,It is fun
2617,So fun!I can't wait for next update !!!
2624,Leider pay to win
2633,Cool
2636,Cool
2639,Cool
2642,It's fab :D
2643,Its really fun and easy to use.
2647,Yo
2659,"In the tutorial, I can't select ,,armory"", I clicked on it, but it did nothing..."
2680,I would give better stars if you could add vehicle's that are drivable
2702,Cool
2711,Over all the gameplay is very good but the heavy gun 'Rocket Crossbow' doesn't one shot in block crash anymore
2728,Cool
2746,oh year
2765,My son said he can't play when he taps the battle button it says to update it
2775,Best guns and so fun
2800,It is not returning my wepons
2826,I can play minecraft
2832,It's cool
2844,Make the in app purchase cheaper but other than that love it
2853,It is awesome
2866,Super online shooter macht spaß und ist fesselnd
2877,It is fun I am a beast
2899,Rat hay very good
2907,Top👌
2910,Cool
2924,Im gonna give some hint to get xp just play co op survival
2993,It's cool
2994,It good
3003,Free b bucks
3013,Please fix this bug it won't let me play  even I'm on the 13.0.5 update I even have the Samurai gear
3020,"I hope you could make a open world team map and a 2-3 player story mode,and more guns and not so expensive"
3021,I hate it
3026,Always by the lucky chest I get coins but stupid and I don't have guns
3035,Es ist cool
3039,Me gusto mucho
3055,It is fun
3056,Focus ch
3065,Add some chests to collect coins and also I have not that much coins so maybe do that
3071,I love  this gama
3084,Cool
3090,Loooove it
3092,Why does u have to lose  all yo storage
3097,"I already update it and still won't let me play, if you fixed it, i will give back five stars."
3100,Q orible
3136,Keep up the good work
3145,Cool
3153,Very exellent gane! I was rhink is will make me boring
3164,It is good
3200,Nice but it is full of hackers
3203,Minecraft with guns
3207,"It says I got the update, but when I go in the app I cant see the new weapons"
3219,Cooles Spiel
3220,Download now
3229,It would be cool if we could color our weapons and have our clan symbol on the front of our mech.
3252,I loved it it very fun and my favorite part was when the was minne games😍😷
3257,Do more new mini-games because i like play mini-games so plz do some new mini-games
3282,COOOOOOOOOL
3291,The best ever
3302,Cool
3307,I like it but the guns are so expensive
3315,Loved it
3316,When i buy somethine(with real money) it says purchse sucseesful but i get nothing when i look
3320,I like i realy need a gems but thanks
3354,Cool
3389,I would really like it if you plz make the controls more easy I've been playing in another device sense it came out the move ment was easy but now it's hard.  So plz plz make it easy again and put the old weapons back again
3390,It's  really really good nut it has some glichizzes
3395,Add more maps to camping
3396,Plz add more maps to caming
3407,Just awesome
3410,IYI OYUN AMA PARA HILELI OLANI CALISMIYO ONUN ICIN 4 YILDIZ
3463,Please Need no more lagging
3467,Cool
3473,I really love it¡!!!!!!!!!!!
3478,The new update sucks. It nerfs all the weapons that many players use. This wouldve been a 5 star if it wasnt for this update. Please dont make this a 12.5.0 mistake that got worse
3485,It's OK.Could be better if it was like Minecraft.
3514,Some of the guns are o.p
3518,Stupid!im downloading it and it was done but when i go to the store i saw it uninstalled im so mad waited for a day!!!
3542,I think it should get a big fat five cuz the graphics r incredible and the weapons r amazing
3586,Cool
3589,Cool
3592,This is da best of da best🔫🔪
3594,I love it  It was amazing
3606,Its great
3607,Please can you remove the balloon cannon
3614,WHY DO YOU NEED TO UPDATE IT i dont have room to. it says that I have to delete all my other apps to update please fix
3617,it is cool
3636,It's really good
3651,This update Killed me whyyyy poxel gun nooooo
3659,What a fuc
3669,PLS FIX THIS BUG WHERE IT SAID THAT I CLICK ON THE ARMORY THEN I KEEP PRESSING IT AND IT WONT WORK PLS FIX THIS IMMEDIATELY I RATED THIS A 5STAR INTO A 2STAR
3670,Hey owner the problems are now gone thanks but there is a glitch on point capture it automaticly capture on its own sometimes ours and theres its so annoying we even got lost because of that glitch pls just clear that one glitch and you should start making secret bases and stuff ok trust me its gonno get famous ok cya thnx for fixing my probs
3678,Realy nice
3689,I FREAKING LOVED IT😆😆😆😆😆😆😆👍 i am still keeping this comment because  ITS SO FUN
3692,The pets are awsome!
3694,Awesome because  it's so easy to get a hang of the Controls
3696,Why is evrething all pink pixel gun 3d
3702,IL METTE DES PERSONNES FORTE CONTRE DES NUL!!!!!!😬😬😤😤😤
3716,Holy fuckking god
3723,Sehr cool
3724,It s awsome
3737,It's awesome i play it almost every day my name is hayhomey in pixle gun i have scoripin skin
3755,It's relly good
3756,Ehh its not my best interest but it is fun when I play
3758,Play all the time
3764,Cool
3769,"There is an unnessasary pop up saying ""New update is  out"" (yes, it has the extra space) Can you please fix that?"
3773,Its really fun that we kill and its 3d
3781,I realy hate it
3787,The campaign is a bit hard
3796,Cool :-) :-(
3798,Wow but i want a new gun on the next version (bazooka)
3805,It is just amazing
3811,I love it but not how much space it takes.
3813,Awsome but hard once max level its hard to get gem unless your as lucky as my sis because in lucy chest wich is impossible to get it she got 50 gems 2 times in a row
3818,Hate
3825,It's good
3826,It won't let me update it
3832,Love it also addicting
3840,To load fast
3844,To good to be true
3847,It's Awesome
3857,Oyun efsane ama hersey cok pahali
3859,"Sorry,i had an question . Why dont You add some server in sandbox???"
3866,Its awesome
3868,I love it soo much!
3879,Lucky chest and daily egg need more effort😐 as well as the exp n reward system and the lottery and events could use a touch up to
3891,Is cool
3892,I think that you should add a little bit more maps but my whole family likes it.
3894,Ive played for 2  years and it's great
3898,It sucks
3900,Cool
3904,Deleted because the update is still open on my phone. So I deleted by addcitent. I can't find my Account on my Phone. I was being a Pro in pixel gun 3d but I can't t find it. It say my level is 2. My first level is 32 that I played my first time and it hard to find. Username Ç£ÜßŶ plus find it 😥
3915,It is fun to mod and boss players around
